categoria,marca,modelo,motor,versao,transmissao,ar_condicionado,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
MÉDIO,CHEVROLET,Onix Plus,1.0­12V Turbo,LTZ,A­6,S,E,F,"8,6","10,9","12,0","15,0",2020
MÉDIO,CHEVROLET,Onix Plus,1.0­12V Turbo,4LT,A­6,S,E,F,"8,6","10,9","12,0","15,0",2020
MÉDIO,CHEVROLET,Onix Plus,1.0­12V Turbo,1LS,A­6,S,E,F,"8,6","10,9","12,0","15,0",2020
MÉDIO,CHEVROLET,Onix Plus,1.0­12V,2LT,M­6,S,E,F,"10,1","12,5","14,3","17,7",2020
MÉDIO,CHEVROLET,Onix Plus,1.0­12V,8LT,M­6,S,E,F,"10,1","12,5","14,3","17,7",2020
MÉDIO,CHEVROLET,Onix Plus,1.0­12V,5LT,M­6,S,E,F,"10,1","12,5","14,3","17,7",2020
MÉDIO,CHEVROLET,Onix Plus,1.0­12V,1LT,M­6,S,E,F,"10,1","12,5","14,3","17,7",2020
MÉDIO,CHEVROLET,Onix Plus Joy,1.0­8V,Plus Joy,M­6,S,E,F,"8,7","10,6","12,8","15,3",2020
MÉDIO,CHEVROLET,Onix Plus Joy,1.0­8V,Plus Joy Black,M­6,S,E,F,"8,7","10,6","12,8","15,3",2020
MÉDIO,CHEVROLET,Spin,1.8­8V,LT,M­6,S,E,F,"7,8","9,1","11,3","13,0",2020
MÉDIO,CHEVROLET,Spin,1.8­8V,LS,M­6,S,E,F,"7,8","9,1","11,3","13,0",2020
MÉDIO,CHEVROLET,Spin,1.8­8V,LT,A­6,S,E,F,"7,2","8,9","10,6","12,8",2020
MÉDIO,CHEVROLET,Spin,1.8­8V,LS2,M­6,S,E,F,"7,8","8,9","11,0","12,6",2020
MÉDIO,VW,Voyage,1.0­12V,(roda aro 14),M­5,S,H,F,"8,9","10,6","13,4","15,6",2020
MÉDIO,VW,Voyage,1.0­12V,(roda aro 15),M­5,S,H,F,"9,1","10,6","13,1","15,1",2020
